,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Free Internet,"['Free WiFi Internet Connectivity', 'Free Internet', 'Free wired high-speed Internet', 'Free Wi-Fi Internet Access Included', 'Free WiFi Internet', 'Free high-speed Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complimentary']","['Free Internet', 'Free WiFi Internet', 'Free high-speed Internet access']","['Free Internet', 'Free WiFi Internet']",['Free Internet']
Shared bathroom,"['Shared bathroom', 'Second bathroom', 'Shared/communal kitchen', 'Private bathroom', 'Shared bathroom with sink in room']","['Shared bathroom', 'Shared/communal kitchen', 'Shared bathroom with sink in room']",['Shared bathroom'],['Shared bathroom']
Wifi EnabledFree Wi-Fi,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi/Wireless LANBathroom Toiletries', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']","['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi']","['Wifi EnabledFree Wi-Fi', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar']",['Wifi EnabledFree Wi-Fi']
24 Hour Doctor On Call.,"['24 Hour Check in-Icon', 'Room service (24 hours)', '24 Hour Doctor On Call.', '24 hour room service', '24 Hour Doctor On Call.Hot/cold Water', 'Doctor on Call', 'Doctor on call', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']","['24 Hour Doctor On Call.', '24 Hour Doctor On Call.Hot/cold Water', 'Doctor on Call', 'Doctor on call']",['24 Hour Doctor On Call.'],['24 Hour Doctor On Call.']
Music System,['Music System'],['Music System'],['Music System'],['Music System']
Ski equipment hire on site,"['Ski equipment hire on site', 'Equipment hire', 'Water Sports Facilities on site']",['Ski equipment hire on site'],['Ski equipment hire on site'],['Ski equipment hire on site']
46 Sq,"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size:66 sq m(709 sq ft)']",['46 Sq'],['46 Sq']
breakfast and one way airport transfer,"['breakfast and one way airport transfer', 'Airport transportation - drop-off (complimentary)', 'Airport Transfer Available With Charges Rs.200/- Per Trip', 'Airport Transfer', 'Airport transfer (complimentary)', 'Airport transfer (price advised by hotel)']",['breakfast and one way airport transfer'],['breakfast and one way airport transfer'],['breakfast and one way airport transfer']
Room Service from  7:00 to  9:30,"['Room service (24 hours)', 'Room Service from  7:00 to  9:30', '24 hour room service', 'Room Service 24 Hrs', 'Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room Service from 7:00 to 9:30', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']","['Room Service from  7:00 to  9:30', 'Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30']","['Room Service from  7:00 to  9:30', 'Room Service from 7:00 to 9:30']","['Room Service from  7:00 to  9:30', 'Room Service from 7:00 to 9:30']"
Free local calls,"['Free local calls', 'Free international calls', 'Free long-distance calls']","['Free local calls', 'Free international calls']",['Free local calls'],['Free local calls']
Free parking nearby,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Parking nearby', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free secure covered parking', 'Park Nearby', 'Free parking (limited spaces)', 'Parking', 'Free outdoor parking', 'Free on-street parking', 'Parking nearby (surcharge)', 'Free secure parking', 'Free guest parking during stay', 'Free Parking', 'Parking (nearby)', 'Parking (free)', 'Free self parking']","['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Parking nearby', 'Free garage parking', 'Free valet parking', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (nearby)', 'Parking (free)']","['Free parking nearby', 'Parking(free)', 'Parking nearby', 'Free Parking', 'Parking (nearby)', 'Parking (free)']",['Free parking nearby']
Audiovisual equipment,['Audiovisual equipment'],['Audiovisual equipment'],['Audiovisual equipment'],['Audiovisual equipment']
TVTelephone,[],[],[],[]
TVTea/Coffee Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee Shop', 'Tea/Coffee Maker']","['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']","['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']","['TVTea/Coffee Maker', 'Coffee Maker']"
